"data_view","reason","n_kept","analysis"
<<<<<<< HEAD
"all","raw data",27814,"all"
"with_known_lineage","filtered out lineage==None",27542,"all"
"good sequence quality",">10% ambiguitiy in sequencing",27542,"all"
"valid ages","miscoded age",27542,"all"
"valid admit date","no admitdate for hosp admission",27533,"all"
"known vaccine","unknown vaccine type",27531,"all"
"defined vaccinations active at time of sample (excluding mixed vaccine)","exclude mixed vaccinations since there are very few and shrinkage estimators may be pooled misleading close to the most-no-vaccine mean",27515,"all"
"only single lineage cases","a small number of cases have multiple lineages for various reasons. But since number is small we just exclude",27424,"all"
"sequence collection date within 14 days of admission date if hospitalized","exclude hospitalizations where it is unlikely that this sequence is responsible for the hospitalization",27383,"all"
"first detection in cases with multiple sequences of a single lineage","no multiple counting and no value in modeling multiple sequences per case",23296,"all"
"with best date on or before July 15","very incomplete sequencing and outcomes after that",23296,"all"
"all sentinel surveillance and lineages with at least 1 hospitalization but excluding suspected reinfections","primary analysis",22149,"cox hierarchical sentinel"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",22149,"cox fixed effect sentinel"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",23170,"cox hierarchical all samples"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",22149,"poisson hierarchical sentinel samples"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",23170,"poisson hierarchical all samples"
"all sentinel surveillance and lineages with at least 1 hospitalization","primary analysis",17645,"cox hierarchical sentinel"
"all sentinel surveillance and lineages with at least 1 hospitalization but excluding suspected reinfections","primary analysis",22149,"cox hierarchical sentinel"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",22149,"cox fixed effect sentinel"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",23170,"cox hierarchical all samples"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",22149,"poisson hierarchical sentinel samples"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",23170,"poisson hierarchical all samples"
=======
"all","raw data",23911,"all"
"with_known_lineage","filtered out lineage==None",23388,"all"
"valid ages","miscoded age",23385,"all"
"known vaccine","unknown vaccine type",23383,"all"
"defined vaccinations active at time of sample (excluding mixed vaccine)","exclude mixed vaccinations since there are very few and shrinkage estimators may be pooled misleading close to the most-no-vaccine mean",23369,"all"
"only single lineage cases","a small number of cases have multiple lineages for various reasons. But since number is small we just exclude",23280,"all"
"sequence collection date within 14 days of admission date if hospitalized","exclude hospitalizations where it is unlikely that this sequence is responsible for the hospitalization",23252,"all"
"first detection in cases with multiple sequences of a single lineage","no multiple counting and no value in modeling multiple sequences per case",19920,"all"
"with best date on or before July 15","very incomplete sequencing and outcomes after that",19920,"all"
"all sentinel surveillance and lineages with at least 1 hospitalization but excluding suspected reinfections","primary analysis",16436,"cox hierarchical sentinel"
"all sentinel surveillance and lineages with at least 1 hospitalization but excluding suspected reinfections","primary analysis",16436,"cox hierarchical sentinel"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",16436,"cox fixed effect sentinel"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",19813,"cox hierarchical all samples"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",16436,"poisson hierarchical sentinel samples"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",16436,"poisson hierarchical all samples"
"all sentinel surveillance and lineages with at least 1 hospitalization but excluding suspected reinfections","primary analysis",16436,"cox hierarchical sentinel"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",16436,"cox fixed effect sentinel"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",19813,"cox hierarchical all samples"
"all sentinel surveillance and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",16436,"poisson hierarchical sentinel samples"
"all sequences and lineages with at least 1 hospitalization except suspected reinfections","sensitivity analysis",16436,"poisson hierarchical all samples"
>>>>>>> bded0fd928968942258d9af426bb7f25aeefadbf
